,Name,Date,Open,High,Low,Close,Volume,Change,Code,MA_5,fast_%K,slow_%K,slow_%D,RSI,STD,Upper,Lower,Score,label,Predict,Prob_1,fast_10,pos_score,pos_title,neg_score,neg_title,MA_10
1809,현대차,2020-02-18,134000,134500,131000,132500,744150,-0.022140221402214,5380,134100.0,23.07692307692308,57.98933419521653,70.7168048490299,52.30769230769231,5342.173320800448,144784.3466416009,123415.65335839913,0.4583,0,0,0.25263157,64.28571428571429,0.929,현대차 세계 첫 수소연료 지게차 굴삭기 만든다,0.8,현대 기아차 부품 부족에 추가 생산 중단,132000.0
1810,현대차,2020-02-19,133000,134000,130500,131500,776121,-0.0075471698113207,5380,133200.0,14.285714285714285,43.34647705235939,62.898522619750224,56.66666666666666,4733.975740937834,142667.95148187567,123732.04851812431,0.5556,0,0,0.27351782,50.0,0.9,건설기계도 수소차 시대 온다 현대차 현대모비스 현대건설기계 개발 협력,0.857,코로나 셧다운 지속 현대차 공장 또 스톱 기아차도 휴업 연장,132750.0
1811,현대차,2020-02-20,132500,133000,129000,130000,711858,-0.0114068441064638,5380,132600.0,14.285714285714285,35.20361990950224,54.9183356285658,58.62068965517242,3727.211459409886,140054.42291881976,125145.57708118022,0.8571,0,0,0.26414114,25.0,0.722,현대차 전기트럭 포터II 일렉트릭 냉장 냉동 시스템 탑재,0.667,현대차 울산2공장 또 다시 휴업 다음 주 정상화 ,132550.0
1812,현대차,2020-02-21,128000,129500,127000,128000,686417,-0.0153846153846153,5380,131500.0,11.11111111111111,26.837606837606813,46.48063229751208,57.62711864406779,3690.671027276399,138881.3420545528,124118.6579454472,0.6,0,0,0.2342984,9.523809523809524,0.643, 단독 현대차 서울에 세계 최대 초급속 전기차 충전소 연다,0.857,하나투어 코로나19로 모든 노선 부진 목표가하락 현대차,132250.0
1813,현대차,2020-02-24,124500,125000,122000,122500,911932,-0.04296875,5380,128900.0,4.0,13.35189255189253,35.345786109315505,47.82608695652174,4060.075187273537,137020.15037454708,120779.84962545292,0.6667,0,0,0.2115651,3.225806451612903,0.562,현대차 강렬한 이미지를 자랑하는 신형 i20 공개,0.538,현대 기아차 24일 공장 가동 부품 충격파 완화되나,131500.0
1814,현대차,2020-02-25,122500,124500,122000,122500,796176,0.0,5380,126900.0,4.166666666666666,9.569841269841245,25.66188752424045,47.82608695652174,4351.270231964154,135602.5404639283,118197.45953607168,0.5,0,0,0.26263946,3.225806451612903,0.875,현대공업 신형 쏘렌토에 117억원 규모 주요 내장부품 공급,0.667, 에 공 들였는데 현대차 코로나 유탄 우려,130500.0
1815,현대차,2020-02-26,121000,124000,120000,122500,1001834,0.0,5380,125100.0,19.23076923076924,10.558852258852236,19.104362565539017,32.075471698113205,4582.862814763908,134265.72562952782,115934.27437047218,0.5,0,0,0.34882647,14.285714285714285,0.636, 특징주 대성엘텍 만도 현대모비스 등 인수후보 거론 소식에상승,0.625,국내산부품 공급차질 현대차공장 또 멈췄다,129150.0
1816,현대차,2020-02-27,122500,123500,120000,121000,779402,-0.0122448979591837,5380,123300.0,10.526315789473683,9.806972559604116,14.025033095559394,31.48148148148148,4902.939504977811,133105.87900995562,113494.12099004438,0.75,0,0,0.2753387,6.25,0.862,현대 기아차 전용 플랫폼 전기차 시대 연다,0.8,현대차 벤츠 BMW 등 5개사 26개 차종 1만2천463대 리콜,127950.0
1817,현대차,2020-02-28,118500,119000,114000,115000,1777353,-0.049586776859504,5380,120700.0,9.090909090909092,9.402932155563713,10.538098159150774,26.5625,5722.704090310936,132145.40818062186,109254.59181937813,0.2727,0,0,0.23758641,4.545454545454546,0.63,현대차 연산 10만대 수소연료전지공장 후보지 올해 정한다,0.75, 속보 현대차 울산공장 근로자 코로나19 양성 ,126100.0
1818,현대차,2020-03-02,116000,116000,113000,113500,1183337,-0.0130434782608696,5380,118900.0,4.3478260869565215,9.472497372955017,9.762219123363272,19.354838709677423,6520.161040955838,131940.32208191167,105859.67791808832,0.3333,0,0,0.26271325,2.3255813953488373,0.917,현대차 체코공장 코나EV 내달 생산 돌입,0.688, 현대차2공장 첫 확진자 에 울산 조선 철강업체도 긴장,123900.0
1819,현대차,2020-03-03,116000,116500,112000,112500,1414986,-0.0088105726872246,5380,116900.0,4.166666666666666,9.472497372955017,9.742750343986025,8.771929824561411,7306.990164435434,131513.98032887088,102286.01967112914,0.2,0,0,0.2779647,2.272727272727273,0.8,현대모비스 글로벌 HUD 시장 진출,0.929,현대차 셧다운 타격 2월 내수 전년 26 하락,121900.0
1820,현대차,2020-03-04,112000,114000,112000,113000,1319901,0.0044444444444444,5380,115000.0,8.695652173913043,7.365473961583778,9.104074684532334,11.538461538461531,7928.2970893402035,130856.5941786804,99143.4058213196,0.7,0,0,0.28637093,4.761904761904762,0.867,현대자동차 체코서 연 3만대 코나 일렉트릭 생산 유럽 친환경 차량 점유율 확대 기대,0.667,현대차 중국서 코로나 충격 현실화 2월 판매 95 하락,120050.0
1821,현대차,2020-03-05,115500,116000,113000,114000,1135241,0.0088495575221239,5380,113600.0,28.57142857142857,10.974496517974757,9.33757947620646,13.20754716981132,8273.29247766878,130146.58495533756,97053.41504466244,0.7,0,0,0.38543797,11.428571428571429,1.0,현대 기아차 2월 판매 급증 전년비 18 증가,0.667,04일 외국인 거래소에서 SK하이닉스 1 62 현대차 0 44 등 순매도,118450.0
1822,현대차,2020-03-06,113000,113500,110000,110500,1746834,-0.0307017543859648,5380,112700.0,7.6923076923076925,10.694776238254477,9.595948292744614,5.357142857142861,8808.600761098163,130317.20152219632,95082.79847780368,0.75,0,0,0.24104813,3.333333333333333,0.667,현대차그룹 전기차 충전소 설치 운영할 중소기업 찾는다 사업비 250억원은 현대차 직접 투자,0.714, 2월 판매 80 하락 회복 급한 현대 기아차 먹구름 ,116700.0
1823,현대차,2020-03-09,108000,108000,103500,104000,1658544,-0.0588235294117647,5380,110800.0,3.8461538461538463,10.594441790093942,9.820337176172398,4.761904761904759,9811.747792154065,130423.49558430813,91176.50441569187,0.8333,0,0,0.24028085,2.380952380952381,0.889,현대차 미국 시장 질주 소형 SUV가 효자였네,0.529,현대차 울산공장 모처럼 주말 특근 한 달여만,114850.0
1824,현대차,2020-03-10,102500,105000,101000,102000,2491487,-0.0192307692307692,5380,108700.0,6.666666666666667,11.09444179009394,10.144726059600185,4.615384615384613,10622.840337786462,129945.68067557292,87454.31932442708,0.6,0,0,0.28044254,4.3478260869565215,0.636, 12월 계약 그랜저 나왔다 생산속도 내는 현대차,0.75,현대차 이틀째 장중 52주 최저가 코로나19 확산에 수요 위축 ,112800.0
1825,현대차,2020-03-11,103000,103000,99700,100000,2005654,-0.0196078431372549,5380,106100.0,1.8404907975460123,9.723409514820537,10.616313170247537,4.545454545454547,11102.512754943453,128305.02550988692,83894.97449011309,0.6667,0,0,0.2820276,1.2605042016806722,0.667,현대차 올 뉴 아반떼 티저 이미지 공개,0.833, 특징주 현대차 코로나19 실적 우려감에 52주 신저가 10만원 위태,110550.0
1826,현대차,2020-03-12,100000,100500,94500,95000,2312355,-0.05,5380,102300.0,2.631578947368421,4.535439590008505,9.328501784654286,4.166666666666657,11952.647801791947,126205.2956035839,78394.7043964161,0.5,0,0,0.23758641,2.0408163265306123,0.6,현대차 7세대 아반떼 티저이미지 공개,0.75, 특징주 현대차 글로벌 코로나 19 확산에 약세,107950.0
1827,현대차,2020-03-13,86500,90200,83500,87200,4835445,-0.0821052631578947,5380,97640.0,15.10204081632653,6.017386214812272,8.393023779965844,3.916449086161876,13200.927997682496,124041.85599536498,71238.14400463502,0.5556,0,0,0.3035396,11.212121212121213,0.8,현대차 넷마블 신작 흥행이 주가 방향 결정할 것 매수의견 ,0.857,삼성전자 장중 5만원 붕괴 현대차 10만원 밑돌아,105170.0
1828,현대차,2020-03-16,88300,89500,82900,82900,2674557,-0.0493119266055045,5380,93420.0,0.0,5.248155445581503,7.323766511063357,3.5211267605633907,14234.223954221909,121888.44790844382,64951.55209155618,0.5,0,0,0.23758641,0.0,0.909,현대차 코나 EV 체코서 양산 유럽 최대 친환경차 메이커 노린다,0.833, 나 현대차 계열사 임원인데 수억 사기 친 60대 1심 실형,102110.0
