,기업명,종목코드,사업년도,분기명,유형자산의 처분,매출원가,유동자산,매출총이익,현금및현금성자산,유형자산,유동부채,비유동자산,재고자산,금융수익,비유동부채,이연법인세부채,이자의 지급,자본금,기타포괄손익,부채총계,비지배지분,자산총계,유형자산의 취득,무형자산의 취득,무형자산,이자의 수취,분기코드
10,삼성전자,126380,2020,3분기,356094000000.0,33462592000000,80000498000000,14338642000000,2700629000000,79988905000000,44642243000000,148286383000000,12836108000000.0,911152000000,2057001000000,18362110000000.0,124292000000.0,897514000000,-28298000000,46699244000000,170909000000,228286881000000,19150071000000,1711090000000,6933886000000,356569000000,11014
11,삼성전자,126380,2020,4분기,431142000000.0,116753419000000,73798549000000,49557772000000,989045000000,86166924000000,44412904000000,155865878000000,13831372000000.0,5676877000000,1934799000000,18810845000000.0,148262000000.0,897514000000,-549299000000,46347703000000,359529000000,229664427000000,26962042000000,2239834000000,7002648000000,448323000000,11011
12,삼성전자,126380,2021,1분기,190300000000.0,33137562000000,78618052000000,11904828000000,8291000000000,88554997000000,59933681000000,157912520000000,12864656000000.0,920764000000,1840817000000,20206147000000.0,23076000000.0,897514000000,16006000000,61774498000000,219632000000,236530572000000,7449044000000,644893000000,6878693000000,68537000000,11013
13,삼성전자,126380,2021,2분기,318318000000.0,31002588000000,62447619000000,14766046000000,4881542000000,93677031000000,42753766000000,165379969000000,12794771000000.0,757914000000,3720941000000,20561350000000.0,45404000000.0,897514000000,-80229000000,46474707000000,140678000000,227827588000000,17369129000000,1454242000000,9218016000000,167563000000,11012
14,삼성전자,126380,2021,3분기,390249000000.0,35634079000000,73253025000000,18285733000000,3928457000000,96420021000000,49597918000000,167431393000000,13499961000000.0,1408263000000,3696390000000,22487982000000.0,79260000000.0,897514000000,-105283000000,53294308000000,291503000000,240684418000000,25648685000000,2012016000000,8989979000000,225993000000,11014
15,삼성전자,126380,2021,4분기,408560000000.0,135823433000000,73553416000000,63921272000000,3918872000000,103667025000000,53067303000000,177558768000000,15973053000000.0,3796979000000,4851149000000,23198205000000.0,125036000000.0,897514000000,-613225000000,57918452000000,871837000000,251112184000000,36021504000000,2459929000000,8657456000000,282918000000,11011
16,삼성전자,126380,2022,1분기,55545000000.0,39184912000000,81466028000000,17539346000000,9129795000000,104032562000000,56799776000000,177887983000000,18708199000000.0,1739895000000,4278465000000,23705374000000.0,50096000000.0,897514000000,-116928000000,61078241000000,236954000000,259354011000000,6939519000000,863935000000,8333496000000,57351000000,11013
17,삼성전자,126380,2022,2분기,239039000000.0,39964268000000,76194477000000,18677020000000,3079118000000,108381976000000,50310861000000,182776820000000,21390252000000.0,2489143000000,4745989000000,26341382000000.0,117383000000.0,897514000000,-100478000000,55056850000000,178247000000,258971297000000,16286602000000,1335396000000,8181534000000,161320000000,11012
18,삼성전자,126380,2022,3분기,260949000000.0,38689379000000,73953657000000,15021662000000,6965195000000,112946314000000,48848744000000,187075421000000,25680933000000.0,3400924000000,5134628000000,28896279000000.0,210740000000.0,897514000000,-165065000000,53983372000000,361777000000,261029078000000,26103575000000,2885624000000,8883979000000,253051000000,11014
19,삼성전자,126380,2022,4분기,288684000000.0,152589393000000,59062658000000,59278090000000,3921593000000,123266986000000,46086047000000,201021092000000,27990007000000.0,9734299000000,4581512000000,5111332000000.0,287488000000.0,897514000000,613118000000,50667559000000,914634000000,260083750000000,39160176000000,3298378000000,8561424000000,339560000000,11011
20,삼성전자,126380,2023,1분기,52599000000.0,37113489000000,67947428000000,5055190000000,8414405000000,126355577000000,46323496000000,206462959000000,30485357000000.0,2153358000000,17118387000000,4634692000000.0,90232000000.0,897514000000,-152805000000,63441883000000,267337000000,274410387000000,11093859000000,1031652000000,11318579000000,45168000000,11013
21,현대차,164742,2018,1분기,20287000000.0,8059414000000,23084566000000,1613057000000,88841000000,22143167000000,10914902000000,46818532000000,2650762000000.0,337034000000,5157419000000,3233121000000.0,28761000000.0,1488993000000,4051000000,16072321000000,48478000000,69903098000000,697658000000,239771000000,3674807000000,64895000000,11013
22,현대차,164742,2018,2분기,25850000000.0,9075361000000,23265407000000,1911934000000,299866000000,22227267000000,10618646000000,46688711000000,2798640000000.0,494858000000,5315767000000,3335720000000.0,67717000000.0,1488993000000,-139720000000,15934413000000,117336000000,69954118000000,994441000000,523031000000,3672844000000,150085000000,11012
23,현대차,164742,2018,3분기,66075000000.0,8750012000000,21962177000000,1334993000000,104797000000,22328667000000,9732907000000,47041024000000,2762083000000.0,115804000000,5667984000000,3408947000000.0,104791000000.0,1488993000000,93866000000,15400891000000,13613000000,69003201000000,1452358000000,845982000000,3694345000000,224726000000,11014
24,현대차,164742,2018,4분기,79133000000.0,36403490000000,22325069000000,6756618000000,194203000000,22904948000000,12737313000000,47083668000000,2863652000000.0,1076260000000,4429408000000,,142051000000.0,1488993000000,-532103000000,17166721000000,94768000000,69408737000000,1993920000000,1442606000000,3915129000000,360805000000,11011
25,현대차,164742,2019,1분기,8606000000.0,9365142000000,22073353000000,1911790000000,108543000000,22742489000000,13080655000000,47994597000000,2830211000000.0,340555000000,4661080000000,3377152000000.0,17554000000.0,1488993000000,-10290000000,17741735000000,174371000000,70067950000000,734461000000,231578000000,3922206000000,74732000000,11013
26,현대차,164742,2019,2분기,12913000000.0,10369310000000,23929191000000,2583605000000,191729000000,22791449000000,14195159000000,48295638000000,3165390000000.0,590809000000,4668572000000,3390198000000.0,37572000000.0,1488993000000,17194000000,18863731000000,117696000000,72224829000000,1011590000000,537178000000,3955830000000,148902000000,11012
27,현대차,164742,2019,3분기,31276000000.0,9382639000000,21628713000000,1951398000000,384531000000,22988350000000,12933355000000,49616050000000,3202662000000.0,466091000000,4743336000000,3528142000000.0,50292000000.0,1488993000000,-20795000000,17676691000000,47106000000,71244763000000,1393857000000,903829000000,4034875000000,214479000000,11014
28,현대차,164742,2019,4분기,57168000000.0,40324396000000,22346792000000,8831297000000,382000000000,24413350000000,15148868000000,51412033000000,3065329000000.0,1562521000000,5089342000000,,132884000000.0,1488993000000,-66326000000,20238210000000,295930000000,73758825000000,1776500000000,1491369000000,4270089000000,277444000000,11011
29,현대차,164742,2020,1분기,14157000000.0,9081479000000,20840752000000,2193486000000,810543000000,24268424000000,15409856000000,52605608000000,3088219000000.0,372740000000,4860296000000,3661036000000.0,23666000000.0,1488993000000,-382715000000,20270152000000,295456000000,73446360000000,665745000000,262619000000,4292244000000,37994000000,11013
30,현대차,164742,2020,2분기,29235000000.0,9712332000000,21464025000000,2418778000000,503423000000,24614457000000,14648064000000,53002258000000,3274309000000.0,53464000000,6046491000000,3457345000000.0,44616000000.0,1488993000000,112555000000,20694555000000,-31225000000,74466283000000,1237848000000,616491000000,4331073000000,115379000000,11012
31,현대차,164742,2020,3분기,42518000000.0,10259265000000,22969659000000,2422658000000,527200000000,24618090000000,16009664000000,53652949000000,3539007000000.0,53474000000,6988242000000,3433712000000.0,68046000000.0,1488993000000,99177000000,22997906000000,182309000000,76622608000000,1709012000000,982853000000,4365604000000,176738000000,11014
